id	initL	initR	finalL	finalR	message (DEL=deleted NOC=no change MOD=modified)
126	0	31284	11067	31218	MOD	skipped 0 overlaps; used 60 overlaps
127	0	19359	0	19359	NOV
128	0	9262	3794	9032	MOD	skipped 0 overlaps; used 23 overlaps
129	0	12948	9	11176	MOD	skipped 0 overlaps; used 29 overlaps
130	0	16398	34	16398	MOD	skipped 0 overlaps; used 80 overlaps
131	0	21166	223	21146	MOD	skipped 0 overlaps; used 56 overlaps
132	0	8713	8	8712	MOD	skipped 0 overlaps; used 33 overlaps
133	0	3302	466	3266	MOD	skipped 0 overlaps; used 24 overlaps
134	0	3653	279	3646	MOD	skipped 0 overlaps; used 42 overlaps
135	0	15139	17	15139	MOD	skipped 0 overlaps; used 97 overlaps
136	0	1370	8	1344	MOD	skipped 0 overlaps; used 4 overlaps
137	0	2735	23	2628	MOD	skipped 0 overlaps; used 12 overlaps
138	0	3049	0	3049	NOC	skipped 0 overlaps; used 15 overlaps
139	0	4404	520	4400	MOD	skipped 0 overlaps; used 20 overlaps
140	0	7498	4161	7497	MOD	skipped 0 overlaps; used 38 overlaps
141	0	3366	0	3348	MOD	skipped 0 overlaps; used 32 overlaps
142	0	1405	0	1405	NOV
143	0	14676	37	14629	MOD	skipped 0 overlaps; used 50 overlaps
144	0	1697	57	1639	MOD	skipped 0 overlaps; used 16 overlaps
145	0	17162	475	17147	MOD	skipped 0 overlaps; used 43 overlaps
146	0	22074	4871	22054	MOD	skipped 0 overlaps; used 73 overlaps
147	0	3093	285	3092	MOD	skipped 0 overlaps; used 24 overlaps
148	0	7678	10	7656	MOD	skipped 0 overlaps; used 27 overlaps
149	0	9370	25	9362	MOD	skipped 0 overlaps; used 37 overlaps
150	0	2086	0	2057	MOD	skipped 0 overlaps; used 16 overlaps
151	0	5197	785	5193	MOD	skipped 0 overlaps; used 27 overlaps
152	0	16390	6477	16334	MOD	skipped 0 overlaps; used 35 overlaps
153	0	3133	349	2834	MOD	skipped 0 overlaps; used 19 overlaps
154	0	22657	0	22651	MOD	skipped 0 overlaps; used 49 overlaps
155	0	5856	0	5553	MOD	skipped 0 overlaps; used 25 overlaps
156	0	2059	348	2040	MOD	skipped 0 overlaps; used 18 overlaps
157	0	16565	218	16551	MOD	skipped 0 overlaps; used 141 overlaps
158	0	27459	6115	27458	MOD	skipped 0 overlaps; used 139 overlaps
159	0	4903	2671	3272	DEL	skipped 0 overlaps; used 14 overlaps
