     read       raw corrected
       id    length    length
--------- --------- ---------
      773     17833     17425
      774     24053     23563
      775     15450     15182
      776      2652      2641
      777     12529     11498
      778      2559      2106
      779      2508      2399
      780      2402      2386
      781     11249     10894
      782      2270      2314
      783     12812     11707
      784     21327     20403
      785     13858     13009
      786     15987     16029
      787     19813     18745
      788     11499     12161
      789      6626      6130
      790     30924     29596
      791      9191      8767
      792     12075     11740
      793     10485      9742
      794      1438      1407
      795     12919     11268
      796      8742      8509
      797      1157      1055
      798      1779      1764
      799      7587      7216
      800     16186     15693
      801      3515      3460
      802     20256     19340
      803     26603     25086
      804      3825      3747
      805      3774      3689
      806      3706      3712
      807      3269      3269
      808     11538     12372
      809      7563      7106
      810      1881      1723
      811     11012     10138
      812     21558     20157
      813     12851     12851
      814     10137      9205
      815     37759     33656
      816      6966      6730
      817      3355      2956
      818     17668     17341
      819     20246     18513
      820      3270      3195
      821      4769      4581
      822      9770      9068
      823     21660     20408
      824     16836     15659
      825      8855      8490
      826     11275     11495
      827      2438      2247
      828     10311     10555
      829      3786      3558
      830      3180      3058
      831     12243     11405
      832      6840      6568
      833     13440     12031
      834      5563      5067
      835     24747     24691
      836     10804     10273
      837      1400      1329
      838      1399      1312
      839      1358      1311
      840      1428      1326
      841      1404      1316
      842      1378      1296
      843      1376      1297
      844      1338      1312
      845      1390      1335
      846      3574      3085
      847      8523      8523
      848      1371      1282
      849      1671      1560
      850     15268     14510
      851      9117      8286
      852      1997      1938
      853     10109      9984
      854      3769      3711
      855      4057      4088
      856     16202     15456
      857      6997      6773
      858     23828     22199
      859     10802     10453
      860     11063     10624
      861      4069      3481
      862      2967      2619
      863     13990     13296
      864     15156     14635
      865      8957      9169
      866      3834      3805
      867     14537     14365
      868     18388     16027
      869      2559      2223
      870      9673      9221
      871      5544      5175
      872     19954     18947
      873      9187      8687
      874      2834      2506
      875      4954      4954
      876      7241      7090
      877      4207      3945
      878      4922      4559
      879     26032     24503
      881     10406      9599
      882      1366      1299
      883      1389      1299
      884     11847     11647
      885      5998      5179
      886     19109     18354
      887     11107     10827
      888      5351      5015
      889     12614     12406
      890      6424      6406
      891     18852     17136
      892     20258     19154
      893      6343      5887
      894     18802     17087
      895      8833      8147
      896      4695      4901
      897     15516     14806
      898      5388      5140
      899      2620      2519
      900      5679      4974
      901      8741      8109
      902      2552      2622
      903      1499      1499
      904     12451     11948
      905     16722     16169
      906     17594     16666
      907      2220      2050
      908     10143      9916
      909     20532     19884
      910     16137     15421
      911     10487     10424
      912      2960      2803
      913     17924     17626
      914      1687      1511
      915     14500     13276
      916      2909      2684
      917     15424     14897
      918      8325      7823
      919     19936     19381
      920      2550      2550
      921     22249     19644
      922      2920      2704
      923      3639      3677
      924      3703      3679
      925      3766      3504
      926      3691      3704
      927      1235      1219
      928      1276      1149
      929      1265      1223
      930      1876      1835
      931      1252      1221
      932      1282      1227
      933      1273      1226
      934      1254      1220
      935      1293      1224
      936      1267      1224
      937      1265      1224
      938      8332      7966
      939      7656      6590
      940     25688     24571
      941     25529     24549
      942     22028     21137
      943     22837     22135
      944     14241     12949
      945     11521     11322
      946     10396     10643
      947      8111      7597
      948      2158      2099
